"result","id","comment","label"
"toxic",1,"kaise ho aap bhai",1
"not toxic",2,"job",0
"not toxic",3,"धन्यवाद आपने मेरे मैसेज पे फोकस किया 🤭🤭🙈🙈",0
"not toxic",4,"me bihar se hu",0
"not toxic",5,"good morning",0
"not toxic",6,"Gauri",0
"not toxic",7,"kon c cls me ho",0
"not toxic",8,"study, college",0
"not toxic",9,"hello neha",0
"not toxic",10,"yes",0
"toxic",11,"yaar jaldi likha kro shower krna hai",1
"toxic",12,"@Noor Saba Salam!",1
"toxic",13,"ji me thik hu aaap sisu",1
"toxic",14,"oo accha",1
"not toxic",15,"m dekhti hu abi",0
"not toxic",16,"Shifa ko",0
"toxic",17,"lekin aap kaha se ho",1
"not toxic",18,"kon se job",0
"toxic",19,"hello all of you",1
"not toxic",20,"palak hi",0
"not toxic",21,"gauri hi",0
"toxic",22,"ab kya horaha hai",1
"not toxic",23,"Same sis",0
"not toxic",24,"Q hiiii",0
"toxic",25,"tab kya chalati ho yaar btech kr rhi fir bhi",1
"not toxic",26,"walekumassalam",0
"toxic",27,"campni me hu",1
"not toxic",28,"insta pe bat kare",0
"toxic",29,"मुझे तो लगा था मेरे पे किसी का ध्यान ही नहीं है 🤣🤣🤣🤣🤣",1
"toxic",30,"Khana huaa kya aap ka chhaya ji",1
"toxic",31,"Neha hello",1
"not toxic",32,"hii akash",0
"toxic",33,"kaise ho nandini ji",1
"not toxic",34,"Neha Sankar where are you from",0
"not toxic",35,"hm",0
"not toxic",36,"Neha bolo",0
"not toxic",37,"ro aro teyari",0
"not toxic",38,"Hlo Anoop kha gye ap",0
"toxic",39,"haaan jaldi jaao bulare me bhi ara",1
"not toxic",40,"ap. school clg",0
"toxic",41,"@Noor Saba Where u from?",1
"toxic",42,"shifa yarr nandani ko pata lu",1
"not toxic",43,"taimoor Pura salaam kiya karo",0
"not toxic",44,"okay I am going",0
"toxic",45,"aap kaha se hai",1
"toxic",46,"Q. hiiiii",1
"toxic",47,"Kaha dekhtogi shifa",1
"not toxic",48,"ok bye all friends",0
"toxic",49,"ek baar prince yadav se baat karlo",1
"toxic",50,"are yaar nahan hai wahi shower 🚿",1
"not toxic",51,"🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳",0
"toxic",52,"hi kajal",1
"not toxic",53,"super",0
"not toxic",54,"Anushka anuska",0
"toxic",55,"mughe bhi Karna he",1
"not toxic",56,"Mira hello",0
"toxic",57,"bandita nasta ho gya aapka 🥰🥰🥰",1
"not toxic",58,"🇮🇳🇮🇳🚀🚀🌝",0
"not toxic",59,"karne ha",0
"toxic",60,"bandita devi hello jaanemann",1
"not toxic",61,"hii",0
"toxic",62,"ANUSHKA 🦥",1
"toxic",63,":hand-pink-waving::hand-pink-waving:",1
"toxic",64,"sapna ji ek baar bharosa karna padega ji tabhi ek sacchi relationship hogi",1
"not toxic",65,"up Azamgarh",0
"not toxic",66,"hello",0
"not toxic",67,"joy Sri ram",0
"toxic",68,"kajal",1
"not toxic",69,"I love you",0
"toxic",70,"hii 🖐🖐🖐🖐",1
"toxic",71,"kuch bolti nhi ho kya anushka",1
"not toxic",72,"kaise ho",0
"not toxic",73,"Anushka",0
"toxic",74,"hello kajal",1
"not toxic",75,"ha ha",0
"not toxic",76,"ha ji",0
"toxic",77,"kha se ho sablog",1
"toxic",78,"kha sa ho kajal",1
"not toxic",79,"byeeee gais",0
"toxic",80,"well done ISRO Parivar ki",1
"toxic",81,"har har Mahadev 🔱",1
"not toxic",82,"Kahan se hho",0
